# path	git_blob_sha1	normalized_marker_sha256	source_area
crates/audio/candle-audio-openvoice/src/reference_encoder.rs	3ab638e7ce977b9a71b9aae96f0730f1bc080bda	92ee476b57b0c64d0eaa0b8d79d24db71c3205413ea5c2a99ba72850793a372d	architecture:crates/audio/candle-audio-openvoice
crates/audio/candle-audio-stable-audio-3/src/dit.rs	b70698f263c12f988c2b7413c93915d840e52916	de35ced4ae4dafd99d7babc98daf504b0da59d5b3f85308b05959eddc203da6c	architecture:crates/audio/candle-audio-stable-audio-3
crates/audio/candle-audio-stable-audio-3/src/model.rs	da69115ce66794b6321badbef6616b4a94723d43	314a2708b88d6824060577c54f4dcfae571474743b8951723c68d12021b64d0d	architecture:crates/audio/candle-audio-stable-audio-3
crates/audio/candle-audio-stable-audio-3/src/pipeline.rs	bdcd58d47a925df669bcec4ed82317aec1351ca0	b5139bbf29bfb60d71128dd5bfd9e13786bad63d1b983194f4f6662ab73335f8	architecture:crates/audio/candle-audio-stable-audio-3
crates/audio/candle-audio-whisper/src/decode.rs	77dbc988dacc4ba90023316b8d5e3b9c1c69407c	510dc5284612bc8bf9760708170f0166d4d9dab4b7cea1be17114cfad1b7efdb	architecture:crates/audio/candle-audio-whisper
crates/audio/candle-audio-whisper/src/mel.rs	a81b23bf83c142471ac338bb5a51b0a456e933b0	a6883d9b84643003942411d7702ff6b039e58ea34bc42623db862b7308bb36d8	architecture:crates/audio/candle-audio-whisper
crates/contracts/core-llm/src/constraint.rs	8e75ba7a2ad56b58efbf9a793f9fd15660bb6b5d	70f427fc0619e543dce66011fd374852735fc48a6e9303d99965a50f9da8fca7	architecture:crates/contracts/core-llm
crates/contracts/gen-core/src/audio_dsp.rs	1bdbb08c7c6a3bcabe4154c1da5cecc85f78572e	70f427fc0619e543dce66011fd374852735fc48a6e9303d99965a50f9da8fca7	architecture:crates/contracts/gen-core
crates/contracts/gen-core/src/caption.rs	7294cc8e9cc0de11048cd3d91ee63a98f1609488	fe76651ef79e086e2ec01efcac41ecc05bedd4a2e698c3821d6ffb451beda164	architecture:crates/contracts/gen-core
crates/contracts/gen-core/src/duration_head.rs	64032b7d759f9a81d9bc32f53af5e7beaab841d6	e0f80e133cec4963ae52260697e08f30cd13cfebbde1502b311ee1beeb7e4441	architecture:crates/contracts/gen-core
crates/contracts/gen-core/src/gemma_assets.rs	43fb7af737c2c0ab8938ab3904352a05ffcec6f1	bd0594847547d78405dbd19311b9087eaae9352c00b4def1ec6fe798216de5b1	architecture:crates/contracts/gen-core
crates/contracts/gen-core/src/guidance.rs	fc933f179a7ebd454f6de770b2a90a6dbe61c700	0c79407e7edd2131344b5b4e3bc0f621a414462ef73391c22fa70037a9553fe3	architecture:crates/contracts/gen-core
crates/contracts/gen-core/src/hdr.rs	6a74214b74566fa787e8ac4154c66b0b4e0d1c57	314a2708b88d6824060577c54f4dcfae571474743b8951723c68d12021b64d0d	architecture:crates/contracts/gen-core
crates/contracts/gen-core/src/license.rs	f32dfde6517d1a8e4a224633951ae4314e12ba22	a3764b314ee1c118b1eddeb10c20e13abd9c3e53a6a0cc6b558dd64eb228996d	architecture:crates/contracts/gen-core
crates/contracts/gen-core/src/license/components.rs	1a1c2a3cd3991ee94338f4655d33ecdb22596395	22b50965dc6d832af04e7cfefe291c462caabe38590a4d41b2fb47040aab82ec	architecture:crates/contracts/gen-core
crates/contracts/gen-core/src/license/families.rs	a9220348848597cb9dabac760b40f32aeda420f0	21f7f315f58710e1874fe31f0498f8876a64efd6d373b4ede345803fba33715e	architecture:crates/contracts/gen-core
crates/contracts/gen-core/src/ltx_checkpoint.rs	8ddc144466d05850e8de9943868d5540ccc9d833	69c16afd723508d8019136855f427780cf28234dd87637ef986bd22b35e50846	architecture:crates/contracts/gen-core
crates/contracts/gen-core/src/ltx_dfr.rs	2839987521acf59c9f5b7e141221b2f210515741	54c0af6ca9bc9e2245baa2d15e04896d446dd4be06ecd5ee1b420b4c0d943e89	architecture:crates/contracts/gen-core
crates/contracts/gen-core/src/sampling.rs	12e6326c714a905779ffc3fbe7233bb1e60bfcec	db34f513d7eade0a0176f7b8b0734cc0950a7528faeb2bd5c1b5111e5df7ce76	architecture:crates/contracts/gen-core
crates/contracts/gen-core/src/sampling/cfgpp.rs	77b9fed7b1ade13d34b64305b5ed63fa60319c93	1c0d45cb912c1342c6eed2682aaa499174500cb5964f621a017f1ca75ef10ae4	cfgpp-formula
crates/contracts/gen-core/src/sampling/model_sampling.rs	375130cae5d1ee76ee53925d5f4e606d50450053	2859a6164e01d02d00221bba2736b69244a7c9d84c7498db9d6a8b1e0a32c789	architecture:crates/contracts/gen-core
crates/contracts/gen-core/src/sampling/solvers.rs	d3756b51698816a41d928edc7c998e4a19b65267	2f3e9720fe803d8db8fbf98ab82e6698c92e8b6eeca8e058fd1295b1298d8775	comfy-kdiffusion-solvers
crates/contracts/gen-core/src/tiling.rs	3c48f1daa348d3125c8796142267eabd2d472484	d77a96a80bbb9769643dd005eccaebcc715f74b56afe2c4ba22a0ebbc2a6fe34	architecture:crates/contracts/gen-core
crates/contracts/gen-core/src/tokenizer.rs	621a73748c3e341fa94fd841164770c8f3190be3	a6883d9b84643003942411d7702ff6b039e58ea34bc42623db862b7308bb36d8	architecture:crates/contracts/gen-core
crates/contracts/gen-core/src/train/schedule.rs	f6115d249c85b1eaddb21da5f8b534bf7cd9e68a	170354d5ab330ea6628d7f0cd7cfd828b50cb4f7599e4ee15937c62ef063eadd	architecture:crates/contracts/gen-core
